,,,ROLES,,,,,,,,,,RULES,,
,View,own,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/action-plan/[id],,
,View,others,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/action-plan/[id],,
,Add,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/action-plan/add,,
,Edit,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/action-plan/[id]/edit,,
,Edit,others,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,/action-plan/[id]/edit,,
,Delete,own ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/action-plan/[id]/delete,,
,Delete,others,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/action-plan/[id]/delete,,
,Add Comment,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/action-plan/[id]/comment/[id]/add,,comment
,Edit Comment,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/action-plan/[id]/comment/[id]/edit,,comment
,Delete Comment,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/action-plan/[id]/comment/[id]/delete,,comment
,Delete Comment,others,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,/action-plan/[id]/comment/[id]/delete,,comment
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Meetings,,,,,,,,,,,,,,,
,View,own,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/meeting/[id],,
,View,others,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/meeting/[id],,
,Add,own,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,/rally/[id]/meeting,,
,Edit,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/meeting/[id]/edit,,
,Edit,others,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/meeting/[id]/edit,,
,Delete,own ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/meeting/[id]/delete,,
,Delete,others,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,/rally/[id]/meeting/[id]/delete,,
,Add Comment,own,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/meeting/[id]/comment,,comment
,Edit Comment,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,/rally/[id]/meeting/[id]/comment/[id]/edit,,comment
,Delete Comment,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/meeting/[id]/comment/[id]/delete,,comment
,Delete Comment,others,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,/rally/[id]/meeting/[id]/comment/[id]/delete,,comment
,Sponsor,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/meeting/[id]/sponsor,,sponsorship
,Sponsor,others,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/meeting/[id]/sponsor/[id]/delete,,sponsorship
,Apply to Speak,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/meeting/[id]/apply-to-speak,,application
,Withdraw Application,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/meeting/[id]/apply-to-speak/[id]/delete,,application
,Approve Speaker,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/meeting/[id]/apply-to-speak/[id]/approve,,application
,Reject Speaker,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/meeting/[id]/apply-to-speak/[id]/reject,,application
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Invites,,,,,,,,,,,,,,,
,View,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/invites/[id],,
,Add,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/invites,,
,Edit,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/invites/[id]/edit,,
,Delete,own ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/invites/[id]/delete,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Attendees,,,,,,,,,,,,,,,
,View,own,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,/meeting/[id]/user/[id],,
,View,others,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,/meeting/[id]/user/[id],,
,Add,own,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,/meeting/[id]/user/[id],,
,Edit,own,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,/meeting/[id]/user/[id],,
,Delete,own ,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,/meeting/[id]/user/[id],,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pages,,,,,,,,,,,,,,,
,View,own,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/invites/[id],,
,Add,own,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,/invites,,
,Edit,own,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,/invites/[id]/edit,,
,Delete,own ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,/invites/[id]/delete,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rooms,,,,,,,,,,,,,,,
,View List,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/meeting/[id]/rooms,,
,View,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rooms/[id],,
,View,others,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/rooms/[id],,
,Add,own,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/rooms/[id],,
,Edit,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rooms/[id],,
,Delete,own ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rooms/[id],,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Subscriptions,,,,,,,,,,,,,,,
,View,own,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,/subscriptions/[id],,
,View,others,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,/subscriptions/[id],,
,Add,own,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,/subscriptions/[id],,
,Edit,own,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,/subscriptions/[id],,
,Delete,own ,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,/subscriptions/[id],,
,,,,,,,,,,,,,,,
Resources,,,,,,,,,,,,,,,
,View List,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/resources/[id],,
,View,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/resources/[id],,
,View,others,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/resources/[id],,
,Add,own,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,/resources/[id],,
,Edit,own,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,/resources/[id],,
,Delete,own ,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,/resources/[id],,
